"sample_id","group","pH","EC","TOC","TN","TP","Sb_total","As","MetalRes","Sulfur","Nitrogen","Carbon","Chao1","Shannon","Simpson","Pielou"
"C01","Control",1.47073994235604,-0.812875740312626,0.843187663521286,1.24154304191496,-1.37399803924863,-1.301698209192,-1.23996153647394,-1.48336835503424,-1.30309622269006,1.2135659903582,1.55941813324784,-1.1435081058488,1.02625063394049,0.724681775133419,1.08060472431725
"C02","Control",2.0833794922769,-1.42541732935878,0.528985968123897,0.852748343378499,-0.902769385399958,-1.34093228706525,-1.4045793354603,-1.53364434269271,-1.15903403167759,1.29506883133347,1.34058631864397,-1.02371012718391,0.121900859827555,-0.32567790410466,0.175686090742279
"C03","Control",0.668003861253586,-1.67674326589751,2.28537158901696,0.244774537357616,-1.01212669042139,-1.00780880986947,-1.00746571494576,-1.63487860707619,-1.03937395040731,1.29615626797506,1.46747013142433,0.0241081378205597,-0.246461616683546,-0.664895955978538,-0.353631299741111
"C04","Control",0.829554854163538,-1.23140113398101,0.415721345384773,1.52210949074786,-1.41202594903464,-1.2734392107025,-1.42426637714577,-1.3708633140057,-1.15455392235635,1.0287151286681,1.51772563419799,-1.02371012718391,-0.153849437112579,-0.526201522135308,-0.100237660286157
"C05","Control",1.04127566349003,-1.17295176536197,0.353675121679866,0.803426181051121,-0.439876327376297,-1.1972309378415,-1.19853926847783,-1.5366838383478,-1.1203218964237,1.22270275998279,1.70249171504601,1.38770724981268,-0.863236991269647,-1.13906381750982,-0.969983774776633
"C06","Control",1.31308634478112,-1.36469562370553,1.06775301534693,0.760322144230893,-0.724354008719671,-1.32186975642923,-1.35245278234996,-1.48395871406945,-1.2420450314436,1.33859267115981,1.34271906308721,0.215490469328224,-0.289144997492584,-0.646670775610132,-0.396285414170031
"T01","Tailing",0.648163687147576,-0.452605688928379,0.308403701233216,1.10975389103402,-0.9875906558903,-0.642931885648279,-0.411004471590945,-0.112808907679206,-0.796004279385075,0.475791407271241,0.268358999036656,-0.303634104886317,0.567100360074446,0.537492920199032,0.459372848334787
"T02","Tailing",0.789294179875064,-0.8237637704228,0.890974015283941,0.618737024960663,-1.08743653448315,-0.646238010610397,-0.513418453630981,-0.402134168490041,-0.623164671506189,0.724826438717538,0.0665239193841591,-0.554823414990127,1.22659595055911,1.32466426744527,1.28107606333594
"T03","Tailing",0.456028409424427,-0.762455587037794,1.40707756911232,0.53719297297996,-0.767241509639504,-0.637376340221427,-0.494140713951771,-0.224807251952451,-0.487633543588526,0.413433157993314,0.378387731027399,1.91520480103069,0.6812704879723,0.791402956270135,0.573464694093365
"T04","Tailing",0.765904214051044,-0.565122905521008,0.420597904272867,0.557789337035533,-0.646530329969534,-0.488412393352285,-0.685154860036689,-0.0826826250420655,-0.719400438920532,0.767778836444607,0.392449641616376,-1.0946341676838,1.14672105847119,1.26237677907334,1.20115092786937
"T05","Tailing",0.506228047756745,-0.271547045273474,0.0336918517286238,0.916426448682445,0.18562504642926,-0.49962810841365,-0.586491137134255,-0.197556219867193,-0.55443753952069,0.456217975377554,0.269975345576505,0.808039611111574,1.11779508133255,1.26276554192584,1.00968997904742
"T06","Tailing",-0.082409560058316,-0.336364364772693,0.771663152695717,0.655786661391374,-0.87888353667545,-0.431946708477109,-0.638022174424687,-0.221060961874206,-0.593525311500497,0.595047207280022,0.101883836993469,-1.25716842716273,0.90807829452281,0.848708386950288,0.962358051433306
"M01","Mining",-0.940890847288112,0.989885109553086,-0.021718546769172,-0.240009932252488,0.848100293865247,0.473973380826533,0.531562328397123,0.787279428500883,0.534384759940865,-0.548662180228225,-0.824380197875007,-0.38994017553737,1.10464130904995,1.16455099235362,1.15904470919442
"M02","Mining",-0.546035494928195,0.145099672126074,-0.599890184647525,-0.629799955678125,-0.0345880233219007,0.706092647945425,0.425199943027551,0.513848541738591,0.716937516270201,-0.482906517873941,-0.801074793324918,0.440916773267545,0.784965006679036,0.905841613901705,0.677088113389897
"M03","Mining",-0.904382868186388,1.08495730099045,-0.715049545567875,0.70711256993192,1.64601423028802,0.421786826044732,0.683643138858387,0.814532389043179,0.20853024169156,-0.452612199753531,-0.672594357013622,-0.621807231017806,0.241225675808994,0.506976225568448,0.295085965127632
"M04","Mining",-1.22749144152584,0.974044631818219,-0.167603884728533,-0.557977948946578,0.0566848081397086,0.455381659124998,0.704506930334411,0.791944794237609,0.543462639520228,-0.512602173757231,-0.867585139751236,-0.0566312832842325,0.214714696996978,0.312164115750769,0.268558310222387
"M05","Mining",-0.532097919255067,0.712295531571665,0.236189092571575,-0.290140073342452,0.474729834155471,0.462830902710531,0.887884668133897,0.99520574984831,0.459606489734884,-0.501044097108204,-0.824778696586883,-0.496212575965901,0.849030399513937,0.978037735700401,0.903273013767079
"M06","Mining",-0.849105198171644,0.972057162801662,-0.8990418180164,-0.638866635471939,0.624625060379713,0.451845360906022,0.616734791318733,0.889565645824869,0.355039890154104,-0.495514579160383,-0.763568747540531,-0.621807231017806,0.0209031155612658,0.0892259083882839,0.0746248162754867
"S01","Smelting",-0.205994360651574,0.991879091129419,-1.95697093942593,-1.21515041078295,0.507254019973585,1.21250520029176,1.45117451345564,0.832159668293339,1.21390081039188,-1.23336666165046,-0.964841692359833,2.47619426026252,-1.81247921066445,-1.63551757484443,-1.75991075498183
"S02","Smelting",-1.12734614855917,1.08603633959833,-0.83494808425,-1.03325056857592,1.27002253302526,1.16656471070738,0.875158618344757,1.01074508558107,1.24864203181004,-1.25619720928809,-0.918113244130538,0.0480309292590267,-1.47132367586257,-1.40077696383895,-1.41854062450077
"S03","Smelting",-1.32636998635327,0.747224073116185,-1.20529243937973,-1.62106799084721,1.19215003661866,1.29348433702214,1.3804933889665,0.946877308313655,1.60857728178553,-1.34772345767095,-1.03316484306753,-0.680910598101059,-0.881948011892249,-0.718370566594232,-0.828794227952458
"S04","Smelting",-0.581585134780895,0.963172604644508,-1.62621837291581,-1.80712664905035,0.670250810603217,1.37959005992796,0.935797691980097,0.977151447693406,1.01848975290208,-1.24878888848369,-0.842988343624567,0.147460031175114,-1.27502276412533,-1.1965579911476,-1.38148720169981
"S05","Smelting",-1.16409655737263,0.945719187304856,-0.506097622709596,-1.65980591647202,2.06773594531928,1.28447619274244,1.22026613311807,0.897375323952538,1.53102323041752,-1.37143347056364,-0.850325918669842,1.40564934339152,-1.87678505850987,-1.58896434318613,-1.82425705287331
"S06","Smelting",-1.08385317944496,1.28357351591914,-1.03046055156137,-0.834526563276845,0.724228371382998,1.48098137957319,1.24307467968771,0.827761923103824,1.35399619480123,-1.37704523702335,-1.04457449533742,0.399695963404356,-1.14094116669702,-0.866191803706013,-1.08795029616855
