"name","block","weight","loading","communality","redundancy"
"pH","Environment",-0.500519328292592,0.977293700129781,0.955102976313358,0
"EC","Environment",0.5217382728221,-0.979122368967258,0.958680613412056,0
"TOC","Nutrient",0.35037439796314,0.894075390276422,0.799370803497937,0.630411604893998
"TN","Nutrient",0.382184635268128,0.913501455417639,0.834484909050144,0.658103809236111
"TP","Nutrient",-0.369297506915033,-0.91420236129626,0.835765957399657,0.659114088498788
"Sb_total","Sb_As",0.507137110340592,0.994428001660981,0.988887050487453,0.9441734700452
"As","Sb_As",0.498563298164202,0.994234149647786,0.988501544325856,0.943805394954987
"MetalRes","Function",-0.238232018601256,0.973072252305028,0.94686960820598,0.932286355931279
"Sulfur","Function",-0.2717740611956,0.976119534475878,0.952809345585406,0.93813461219451
"Nitrogen","Function",0.272036664582011,-0.987177787080191,0.974519983304542,0.959510872609572
"Carbon","Function",0.239244326003623,-0.979544695414594,0.95950781031487,0.944729910236443
"Chao1","Alpha",-0.182608787716985,-0.624796006229537,0.390370049400379,0.260763825438908
"Shannon","Alpha",0.351789541920178,0.985496040337177,0.971202445520255,0.648754855446751
"Simpson","Alpha",0.216687691168135,0.962212026980953,0.925851984866795,0.61846113894986
"Pielou","Alpha",0.33348063126639,0.991721931018976,0.983512388464006,0.656977791140404
