"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","taxon","change","comparison","gene","negative_log10_pvalue","negative_log10_pvalue_for_plot"
3967.26715485252,2.61996677965792,0.0760194619428521,34.4644215138946,2.73844439505476e-260,8.00468361631391e-260,"Acidipila","Up","Mining vs Control","Acidipila",259.562496073127,80
553.532348320755,-0.44004207842674,0.0543102434084218,-8.1023772093517,5.38955297304007e-16,9.30922786252375e-16,"Acidithiobacillus","Stable","Mining vs Control","Acidithiobacillus",15.2684472551088,15.2684472551088
3114.16054388584,2.57566606582541,0.0511170513027674,50.3876103997017,0,0,"Acidocella","Up","Mining vs Control","Acidocella",307.652655568589,80
199.199943082703,-0.158426540896368,0.108064793848809,-1.46603287947802,0.142639329680769,0.159420427290271,"Anaerolinea","Stable","Mining vs Control","Anaerolinea",0.84576071075129,0.84576071075129
1948.28806513715,0.142692937922417,0.0427809273860628,3.33543348966538,0.000851665239188513,0.00115583139604155,"Anaerostipes","Stable","Mining vs Control","Anaerostipes",3.06973107817035,3.06973107817035
1255.16643443993,0.707981082867213,0.0483242957441408,14.6506239142255,1.33484310513212e-48,3.17025237468878e-48,"Arthrobacter","Stable","Mining vs Control","Arthrobacter",47.8745697774302,47.8745697774302
1088.94188261201,-2.5134905192274,0.0670329487447285,-37.4963442052825,1.05650298786328e-307,3.6497375944368e-307,"Bacillus","Down","Mining vs Control","Bacillus",306.976129270395,80
1989.02136915863,0.104061372321889,0.0453827502529323,2.29297192748176,0.0218496212008917,0.0276761868544628,"Blastocatella","Stable","Mining vs Control","Blastocatella",1.6605560878372,1.6605560878372
2311.25414103473,-2.53631808275422,0.0576435023827606,-44.0000690088664,0,0,"Bradyrhizobium","Down","Mining vs Control","Bradyrhizobium",307.652655568589,80
3221.16299361818,-2.57087277857712,0.0570407267542422,-45.0708278955426,0,0,"Caldilinea","Down","Mining vs Control","Caldilinea",307.652655568589,80
1222.63286590599,0.788466021083533,0.0443832648656818,17.764939633659,1.32082205459672e-70,3.58508843390539e-70,"Clostridium","Stable","Mining vs Control","Clostridium",69.8791556879966,69.8791556879966
1240.17742207521,0.747939608745982,0.0540142014531515,13.8470918503664,1.32467483727796e-43,2.9610378715625e-43,"Cupriavidus","Stable","Mining vs Control","Cupriavidus",42.8778907132037,42.8778907132037
1069.16978478898,0.79558369789243,0.0620458767002961,12.82250715443,1.22668810368607e-37,2.45337620737215e-37,"Cytophaga","Stable","Mining vs Control","Cytophaga",36.9112658464555,36.9112658464555
816.145203523139,-0.417096563339171,0.0579941101532547,-7.19205040368678,6.38254574849942e-13,1.05450755844773e-12,"Desulfobacter","Stable","Mining vs Control","Desulfobacter",12.1950060635978,12.1950060635978
1243.89824842213,-0.386643478216701,0.0448783712626458,-8.6153634220349,6.97200879756891e-18,1.26160159194104e-17,"Flavobacterium","Stable","Mining vs Control","Flavobacterium",17.156642073551,17.156642073551
1977.31686583033,0.0996274106892142,0.0388127804855466,2.56687125845865,0.010262070506795,0.0134468510089038,"Frankia","Stable","Mining vs Control","Frankia",1.98876500579768,1.98876500579768
1144.48723984332,-0.322798597961558,0.0545586697147188,-5.91654084766795,3.28782848543843e-09,5.20572843527751e-09,"Gaiella","Stable","Mining vs Control","Gaiella",8.48309084617168,8.48309084617168
1208.7739611878,0.732823743886147,0.0541986088346416,13.5210803310832,1.17438406444454e-41,2.4792552471607e-41,"Gemmatimonas","Stable","Mining vs Control","Gemmatimonas",40.9301898504549,40.9301898504549
812.292419888025,-0.319683653284138,0.0673874049808377,-4.7439674131248,2.09572576569552e-06,3.18550316385719e-06,"Ktedonobacter","Stable","Mining vs Control","Ktedonobacter",5.67866554718311,5.67866554718311
2493.24903252913,2.56815055648547,0.0564125316261602,45.5244691641269,0,0,"Lactobacillus","Up","Mining vs Control","Lactobacillus",307.652655568589,80
1120.1205732393,-0.00425283888777395,0.0458798190725368,-0.0926951974472728,0.926145712467125,0.951176677668939,"Longimicrobium","Stable","Mining vs Control","Longimicrobium",0.0333206794714125,0.0333206794714125
298.166637113949,0.0394756881474368,0.0590723264410651,0.668260258664785,0.503967476595155,0.53196566973933,"Lysobacter","Stable","Mining vs Control","Lysobacter",0.297597489727124,0.297597489727124
3681.46953264112,-2.5546818949224,0.058149466907036,-43.9330234790732,0,0,"Methylomirabilis","Down","Mining vs Control","Methylomirabilis",307.652655568589,80
2294.09282778424,-2.65910645329705,0.0594759196961461,-44.7089589683025,0,0,"Nitrosomonas","Down","Mining vs Control","Nitrosomonas",307.652655568589,80
286.666817238305,-0.0954082512023709,0.0599856750858791,-1.59051725375731,0.111718259627497,0.132665433307653,"Nitrospira","Stable","Mining vs Control","Nitrospira",0.951875838456726,0.951875838456726
312.453257236896,0.0477309485205269,0.0581659758560547,0.820599118609276,0.411874649900638,0.447178191320692,"Nocardioides","Stable","Mining vs Control","Nocardioides",0.385234937218299,0.385234937218299
689.414611580912,-0.549034182793739,0.0612493660285766,-8.96391617404792,3.1334721111327e-19,5.95359701115213e-19,"Paenibacillus","Stable","Mining vs Control","Paenibacillus",18.5039741663015,18.5039741663015
1854.50016180901,2.46373661437055,0.0541552944485443,45.4939196519645,0,0,"Pedobacter","Up","Mining vs Control","Pedobacter",307.652655568589,80
1096.800431857,0.19229751160685,0.0486582963909752,3.9519984436306,7.75012448417243e-05,0.000109075826073538,"Pseudomonas","Stable","Mining vs Control","Pseudomonas",4.11069132170595,4.11069132170595
281.284561016628,-0.0935304803061973,0.0611622805634486,-1.5292183261409,0.126210328928793,0.145333106039216,"Pyrinomonas","Stable","Mining vs Control","Pyrinomonas",0.898905101405537,0.898905101405537
197.929649513678,-0.140293606315229,0.0692875918502132,-2.02480130379647,0.0428877711546579,0.0525721065766774,"Segetibacter","Stable","Mining vs Control","Segetibacter",1.36766652313339,1.36766652313339
3340.60109841229,-2.4861439272689,0.0674077658769964,-36.8821588273011,8.92882453973058e-298,2.82746110424802e-297,"Solirubrobacter","Down","Mining vs Control","Solirubrobacter",297.049205711269,80
1034.05496600666,-0.284134660264466,0.0615847948000026,-4.61371449214367,3.95535669963334e-06,5.78090594561796e-06,"Sphingomonas","Stable","Mining vs Control","Sphingomonas",5.40281434511267,5.40281434511267
2521.14449736958,2.55336920978202,0.0664210373941151,38.4421760026327,2.96439387504748e-323,1.13635098543487e-322,"Streptomyces","Up","Mining vs Control","Streptomyces",307.652655568589,80
847.105226666268,0.771560141945252,0.0522350245372661,14.770934804382,2.25562552299491e-49,5.71425132492043e-49,"Terriglobus","Stable","Mining vs Control","Terriglobus",48.6467329998998,48.6467329998998
1784.82670676521,-0.000209319605875924,0.0412199054800912,-0.0050781195016816,0.99594826426559,0.99594826426559,"Terrimonas","Stable","Mining vs Control","Terrimonas",0.00176322094130059,0.00176322094130059
3465.26328912853,2.54509088950473,0.0525944157931096,48.3908957087069,0,0,"Thermomicrobium","Up","Mining vs Control","Thermomicrobium",307.652655568589,80
3015.91544605672,-2.48317029455564,0.0499864725724459,-49.6768458897905,0,0,"Vicinamibacter","Down","Mining vs Control","Vicinamibacter",307.652655568589,80
