"sample_id","function_name","z_score","abs_z_score","overall_mean_abundance","group"
"C01","Thiosulfate oxidation",-0.864815516481332,0.864815516481332,0.167774852707715,"Control"
"C01","Nitrification",1.34691502076805,1.34691502076805,0.161754476158624,"Control"
"C01","Sulfate assimilation",-1.8657502968789,1.8657502968789,0.161328520981187,"Control"
"C01","Dissimilatory sulfite reduction",-1.37759098879334,1.37759098879334,0.158276544847725,"Control"
"C01","Aerobic chemoheterotrophy",1.6554562744203,1.6554562744203,0.125803719455235,"Control"
"C01","Organic carbon degradation",1.47531209097747,1.47531209097747,0.119094814612975,"Control"
"C01","Denitrification",-0.635907143910291,0.635907143910291,0.105967071236539,"Control"
"C02","Thiosulfate oxidation",-0.934665027469093,0.934665027469093,0.167774852707715,"Control"
"C02","Nitrification",1.40215662765982,1.40215662765982,0.161754476158624,"Control"
"C02","Sulfate assimilation",-1.28303813263047,1.28303813263047,0.161328520981187,"Control"
"C02","Dissimilatory sulfite reduction",-1.35555714680139,1.35555714680139,0.158276544847725,"Control"
"C02","Aerobic chemoheterotrophy",1.33924597803443,1.33924597803443,0.125803719455235,"Control"
"C02","Organic carbon degradation",1.25381892662554,1.25381892662554,0.119094814612975,"Control"
"C02","Denitrification",-0.467495184216947,0.467495184216947,0.105967071236539,"Control"
"C03","Thiosulfate oxidation",-0.707409228186175,0.707409228186175,0.167774852707715,"Control"
"C03","Nitrification",1.55311422289214,1.55311422289214,0.161754476158624,"Control"
"C03","Sulfate assimilation",-1.15383358205849,1.15383358205849,0.161328520981187,"Control"
"C03","Dissimilatory sulfite reduction",-1.5468269342206,1.5468269342206,0.158276544847725,"Control"
"C03","Aerobic chemoheterotrophy",1.0815845673886,1.0815845673886,0.125803719455235,"Control"
"C03","Organic carbon degradation",1.37464736728549,1.37464736728549,0.119094814612975,"Control"
"C03","Denitrification",-0.809653705911813,0.809653705911813,0.105967071236539,"Control"
"C04","Thiosulfate oxidation",-0.800207609626725,0.800207609626725,0.167774852707715,"Control"
